2026-06-20 08:58:09 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:58:09 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:58:09 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:58:09 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:58:10 | INFO     | backend.services.export_service:export - 📦 Exported GLB in 32.6ms (134644 bytes)
2026-06-20 08:58:10 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:58:10 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:58:10 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:58:10 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:58:10 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:58:10 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:58:16 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:58:16 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:58:16 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:58:16 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:58:16 | INFO     | backend.services.project_service:create - 📁 Project created: id=2 name=测试方案
2026-06-20 08:58:16 | INFO     | backend.services.project_service:update - ✏️ Project updated: id=2
2026-06-20 08:58:16 | INFO     | backend.services.project_service:delete - 🗑️ Project soft-deleted: id=2
2026-06-20 08:58:16 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:58:22 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:58:22 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:58:22 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:58:22 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:58:22 | INFO     | backend.services.project_service:create - 📁 Project created: id=3 name=测试方案
2026-06-20 08:58:22 | INFO     | backend.services.project_service:update - ✏️ Project updated: id=3
2026-06-20 08:58:22 | INFO     | backend.services.project_service:delete - 🗑️ Project soft-deleted: id=3
2026-06-20 08:58:22 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:58:28 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:58:28 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:58:28 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 📁 静态资源: /app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 🗄️ 数据库: sqlite:////app/data/所有对话/主对话/EVOLUTION_AI_DEMO/backend/outputs/evolution_ai.db
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - ✅ 数据库表已就绪
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 👋 EVOLUTION AI Backend 关闭
2026-06-20 08:58:30 | INFO     | backend.main:lifespan - 🚀 EVOLUTION AI Backend 启动 (env=development)
